Position,Actual,Year
RB1,1,2018
RB2,3,2018
WR1,2,2018
RB3,4,2018
QB1,25,2018
RB4,5,2018
QB2,41,2018
RB5,6,2018
TE1,23,2018
WR2,7,2018
QB3,42,2018
TE2,36,2018
WR3,9,2018
QB4,43,2018
RB6,8,2018
QB5,45,2018
WR4,11,2018
QB6,47,2018
QB7,49,2018
RB7,10,2018
RB8,12,2018
WR5,13,2018
RB9,15,2018
RB10,16,2018
RB11,19,2018
TE3,44,2018
WR6,14,2018
QB8,50,2018
QB9,55,2018
QB10,57,2018
RB12,21,2018
RB13,22,2018
RB14,24,2018
QB11,62,2018
WR7,17,2018
WR8,18,2018
WR9,20,2018
WR10,27,2018
WR11,28,2018
QB12,70,2018
WR12,29,2018
RB15,26,2018
WR13,30,2018
TE4,67,2018
RB16,32,2018
TE5,75,2018
WR14,31,2018
WR15,33,2018
WR16,35,2018
RB17,34,2018
WR17,37,2018
RB18,48,2018
QB13,72,2018
RB19,51,2018
WR18,38,2018
WR19,39,2018
QB14,77,2018
QB15,80,2018
WR20,40,2018
QB16,83,2018
WR21,46,2018
QB17,88,2018
WR22,56,2018
RB20,52,2018
WR23,59,2018
QB18,93,2018
QB19,95,2018
WR24,60,2018
WR25,61,2018
TE6,79,2018
QB20,102,2018
RB21,53,2018
WR26,63,2018
QB21,104,2018
WR27,64,2018
WR28,65,2018
TE7,90,2018
WR29,66,2018
WR30,69,2018
QB22,107,2018
TE8,92,2018
QB23,120,2018
WR31,71,2018
WR32,73,2018
WR33,82,2018
RB22,54,2018
TE9,100,2018
QB24,123,2018
RB23,58,2018
WR34,85,2018
RB24,68,2018
RB25,74,2018
WR35,86,2018
TE10,113,2018
QB25,127,2018
RB26,76,2018
RB27,78,2018
RB28,81,2018
WR36,87,2018
WR37,89,2018
WR38,96,2018
WR39,97,2018
WR40,98,2018
RB29,84,2018
RB30,91,2018
RB31,94,2018
RB32,103,2018
WR41,99,2018
WR42,101,2018
RB33,105,2018
RB40,122,2018
WR43,106,2018
WR44,109,2018
WR45,116,2018
RB34,108,2018
WR46,118,2018
RB35,110,2018
WR47,121,2018
RB36,112,2018
RB37,114,2018
RB38,115,2018
WR48,124,2018
WR49,126,2018
WR50,129,2018
RB39,117,2018
RB1,1,2019
RB2,2,2019
WR1,6,2019
RB3,3,2019
QB1,27,2019
RB4,4,2019
QB2,28,2019
RB5,5,2019
TE1,11,2019
WR2,7,2019
QB3,35,2019
TE2,32,2019
WR3,9,2019
QB4,39,2019
RB6,8,2019
QB5,43,2019
WR4,10,2019
QB6,45,2019
QB7,47,2019
RB7,13,2019
RB8,15,2019
WR5,12,2019
RB9,17,2019
RB10,19,2019
RB11,20,2019
TE3,33,2019
WR6,14,2019
QB8,48,2019
QB9,51,2019
QB10,55,2019
RB12,23,2019
RB13,25,2019
RB14,29,2019
QB11,63,2019
WR7,16,2019
WR8,18,2019
WR9,21,2019
WR10,22,2019
WR11,24,2019
QB12,68,2019
WR12,26,2019
RB15,30,2019
WR13,36,2019
TE4,80,2019
RB16,31,2019
TE5,82,2019
WR14,37,2019
WR15,38,2019
WR16,40,2019
RB17,34,2019
WR17,41,2019
RB18,44,2019
QB13,69,2019
RB19,46,2019
WR18,42,2019
WR19,49,2019
QB14,70,2019
QB15,71,2019
WR20,50,2019
QB16,72,2019
WR21,52,2019
QB17,77,2019
WR22,56,2019
RB20,53,2019
WR23,57,2019
QB18,79,2019
QB19,81,2019
WR24,60,2019
WR25,62,2019
TE6,94,2019
QB20,85,2019
RB21,54,2019
WR26,67,2019
QB21,97,2019
WR27,75,2019
WR28,76,2019
TE7,98,2019
WR29,78,2019
WR30,84,2019
QB22,112,2019
TE8,105,2019
QB23,122,2019
WR31,86,2019
WR32,87,2019
WR33,88,2019
RB22,58,2019
TE9,115,2019
QB24,123,2019
RB23,59,2019
WR34,93,2019
RB24,61,2019
RB25,64,2019
WR35,95,2019
TE10,137,2019
QB25,135,2019
RB26,65,2019
RB27,66,2019
RB28,73,2019
WR36,101,2019
WR37,102,2019
WR38,103,2019
WR39,104,2019
WR40,107,2019
RB29,74,2019
RB30,83,2019
RB31,89,2019
RB32,90,2019
WR41,108,2019
WR42,110,2019
RB33,91,2019
RB40,114,2019
WR43,111,2019
WR44,113,2019
WR45,117,2019
RB34,92,2019
WR46,118,2019
RB35,96,2019
WR47,119,2019
RB36,99,2019
RB37,100,2019
RB38,106,2019
WR48,124,2019
WR49,125,2019
WR50,126,2019
RB39,109,2019
